order_id,order_date,month,quarter,product_id,product_name,category,customer_id,customer_name,city,region,customer_type,salesperson,channel,quantity,unit_price,discount_pct,discount_amount,revenue,cogs,profit,payment_method,status,rating,return_reason
ORD-1445,2023-01-01,2023-01,Q1-2023,P013,Headset Pro,Electronics,C003,Rahim Uddin,Individual,Sylhet,Individual,Mohin Uddin,Direct Sales,5,76.01,0,0.0,380.05,297.5,82.55,Card,Completed,3.3,
ORD-1447,2023-01-01,2023-01,Q1-2023,P012,Webcam HD,Electronics,C009,Nasim Chowdhury,Individual,Dhaka,Individual,Sabrina Noor,Direct Sales,12,39.32,0,0.0,471.84,408.0,63.84,Bank Transfer,Completed,3.5,
ORD-1980,2023-01-01,2023-01,Q1-2023,P005,Monitor 27in,Electronics,C013,Zahid Hasan,SMB,Sylhet,SMB,Rakib Islam,Direct Sales,14,226.08,5,158.26,3006.86,2380.0,626.86,Mobile Banking,Completed,3.8,
ORD-2119,2023-01-01,2023-01,Q1-2023,P005,Monitor 27in,Electronics,C008,Mitu Begum,Chittagong,Chittagong,SMB,Rakib Islam,In-Store,13,233.72,0,0.0,3038.36,2210.0,828.36,Card,Returned,3.4,
ORD-2386,2023-01-01,2023-01,Q1-2023,P006,Office Chair,Furniture,C003,Rahim Uddin,Individual,Sylhet,Individual,Mohin Uddin,Online,8,125.21,0,0.0,1001.68,884.0,117.68,Bank Transfer,Completed,4.3,Changed Mind
ORD-2467,2023-01-02,2023-01,Q1-2023,P015,Sticky Notes Bulk,Stationery,C008,Mitu Begum,SMB,Chittagong,SMB,Sabrina Noor,Online,4,5.86,0,0.0,23.44,20.4,3.04,Card,Completed,4.9,
ORD-2340,2023-01-03,2023-01,Q1-2023,P003,USB-C Hub,Electronics,C010,Riya Sen,Barisal,Barisal,SMB,Sabrina Noor,Direct Sales,6,21.64,0,0.0,129.84,102.0,27.84,Bank Transfer,Completed,4.3,
ORD-1202,2023-01-05,2023-01,Q1-2023,P012,Webcam HD,Electronics,C004,Nusrat Jahan,Corporate,Dhaka,Corporate,Arif Khan,Online,7,41.34,15,43.41,245.97,238.0,7.97,Card,Completed,3.6,
ORD-2047,2023-01-05,2023-01,Q1-2023,P006,Office Chair,Furniture,C007,Tariq Hassan,Corporate,Khulna,Corporate,Arif Khan,In-Store,10,124.58,10,124.58,1121.22,1105.0,16.22,Card,Pending,3.8,Defective
ORD-1914,2023-01-06,2023-01,Q1-2023,P005,Monitor 27in,Electronics,C012,Shapna Das,Individual,Mymensingh,Individual,Rakib Islam,Online,7,201.96,0,0.0,1413.72,1190.0,223.72,Cash,Pending,2.9,
ORD-1954,2023-01-06,2023-01,Q1-2023,P007,Standing Desk,Furniture,C004,Nusrat Jahan,Corporate,Dhaka,Corporate,Rakib Islam,Direct Sales,1,260.62,15,39.09,221.53,187.0,34.53,Mobile Banking,Completed,2.5,
ORD-2437,2023-01-06,2023-01,Q1-2023,P001,Laptop Pro 15,Electronics,C002,Farzana Islam,SMB,Chittagong,SMB,Sabrina Noor,Reseller,16,884.84,20,2831.49,11325.95,10880.0,445.95,Bank Transfer,Completed,,Defective
ORD-2330,2023-01-07,2023-01,Q1-2023,P003,USB-C Hub,Electronics,C006,Sumaiya Akter,Individual,Dhaka,Individual,Rakib Islam,Reseller,17,24.91,15,63.52,359.95,289.0,70.95,Card,Completed,4.5,
ORD-1721,2023-01-08,2023-01,Q1-2023,P012,Webcam HD,Electronics,C007,Tariq Hassan,Corporate,Khulna,Corporate,Mohin Uddin,Online,18,47.0,0,0.0,846.0,612.0,234.0,Bank Transfer,Completed,4.7,
